"filename", "language", "JSON", "XML", "Log", "C#", "YAML", "Markdown", "CSS", "PowerShell", "Properties", "comment", "blank", "total"
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\NotePlaybackEventMetadata.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 20, 65
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\PlaybackEventMetadata.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventMetadata\TimedEventPlaybackEventMetadata.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackEventsComparer.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackSettings.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\PlaybackUtilities.cs", "C#", 0, 0, 0, 221, 0, 0, 0, 0, 0, 438, 51, 710
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\PlaybackSnapping.cs", "C#", 0, 0, 0, 149, 0, 0, 0, 0, 0, 56, 49, 254
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\SnapPoint.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 0, 0, 21, 15, 67
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Playback\Snapping\SnapPointsGroup.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 6, 27
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\Recording.cs", "C#", 0, 0, 0, 102, 0, 0, 0, 0, 0, 64, 39, 205
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\RecordingEvent.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Devices\Recording\RecordingUtilities.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 0, 0, 17, 10, 56
